t[s] h[m]  P[Pa]  ax[g] alfa[deg] beta[deg] pitch[deg] yaw[deg] rol[deg] 
28.415 1005.964 89809.57 -0.021 -0.679 -17.230 236.118 120.423 -0.992
28.426 1004.932 89820.82 -0.008 -0.815 -17.139 235.984 120.330 -0.992
28.436 1003.899 89832.08 0.008 -0.943 -17.045 235.857 120.235 -0.992
28.447 1002.864 89843.35 0.027 -1.063 -16.950 235.738 120.138 -0.992
28.458 1001.829 89854.64 0.064 -1.172 -16.853 235.628 120.039 -0.993
28.480 999.755 89877.24 0.109 -1.356 -16.652 235.442 119.835 -0.993
28.502 997.677 89899.90 0.179 -1.483 -16.444 235.309 119.623 -0.994
28.523 995.595 89922.60 0.256 -1.550 -16.228 235.235 119.403 -0.994
28.545 993.509 89945.36 0.337 -1.552 -16.003 235.225 119.175 -0.995
28.567 991.419 89968.16 0.418 -1.489 -15.770 235.280 118.939 -0.996
28.588 989.325 89991.01 0.525 -1.363 -15.528 235.399 118.694 -0.996
28.632 985.124 90036.86 0.600 -0.944 -15.017 235.807 118.176 -0.997
28.675 980.908 90082.90 0.648 -0.372 -14.469 236.384 117.622 -0.998
28.695 979.005 90103.69 0.667 -0.086 -14.209 236.678 117.360 -0.999
28.714 977.099 90124.51 0.644 0.205 -13.942 236.978 117.092 -0.999
28.734 975.189 90145.37 0.606 0.477 -13.679 237.267 116.824 -1.000
28.751 973.468 90164.19 0.567 0.705 -13.440 237.509 116.586 -1.000
28.767 971.920 90181.11 0.521 0.887 -13.229 237.707 116.372 -1.001
28.783 970.369 90198.06 0.480 1.045 -13.020 237.883 116.161 -1.001
28.799 968.816 90215.04 0.437 1.176 -12.811 238.032 115.950 -1.001
28.814 967.261 90232.05 0.394 1.277 -12.604 238.154 115.741 -1.002
28.830 965.704 90249.08 0.350 1.345 -12.398 238.244 115.534 -1.002
28.846 964.145 90266.14 0.306 1.381 -12.193 238.301 115.327 -1.003
28.862 962.583 90283.22 0.263 1.382 -11.990 238.325 115.122 -1.003
28.877 961.019 90300.33 0.221 1.352 -11.788 238.316 114.918 -1.003
28.893 959.454 90317.47 0.161 1.290 -11.587 238.276 114.716 -1.004
28.925 956.315 90351.82 0.111 1.083 -11.188 238.113 114.314 -1.004
28.951 953.691 90380.56 0.049 0.846 -10.859 237.905 113.983 -1.005
28.977 951.060 90409.37 0.001 0.566 -10.533 237.651 113.655 -1.006
29.004 948.424 90438.25 -0.035 0.264 -10.210 237.370 113.329 -1.006
29.030 945.782 90467.21 -0.057 -0.041 -9.890 237.079 113.004 -1.007
29.056 943.133 90496.24 -0.064 -0.351 -9.551 236.786 112.667 -1.007
29.068 941.964 90509.06 -0.064 -0.481 -9.398 236.659 112.513 -1.008
29.080 940.794 90521.89 -0.059 -0.606 -9.242 236.536 112.356 -1.008
29.091 939.622 90534.74 -0.051 -0.724 -9.082 236.420 112.196 -1.008
29.103 938.449 90547.60 -0.031 -0.833 -8.920 236.312 112.033 -1.008
29.126 936.101 90573.36 -0.007 -1.019 -8.587 236.125 111.698 -1.009
29.147 933.983 90596.59 0.034 -1.145 -8.275 235.998 111.386 -1.009
29.168 931.861 90619.87 0.080 -1.224 -7.954 235.915 111.063 -1.010
29.189 929.736 90643.20 0.132 -1.253 -7.621 235.882 110.729 -1.010
29.210 927.607 90666.57 0.181 -1.226 -7.278 235.902 110.385 -1.011
29.231 925.475 90689.98 0.227 -1.151 -6.923 235.975 110.029 -1.011
29.251 923.339 90713.45 0.264 -1.025 -6.557 236.097 109.662 -1.012
29.270 921.413 90734.60 0.291 -0.874 -6.218 236.246 109.322 -1.012
29.289 919.484 90755.79 0.306 -0.693 -5.868 236.428 108.972 -1.013
29.308 917.552 90777.02 0.309 -0.487 -5.509 236.636 108.612 -1.013
29.327 915.618 90798.28 0.301 -0.264 -5.139 236.864 108.242 -1.014
29.345 913.680 90819.59 0.282 -0.030 -4.760 237.105 107.862 -1.014
29.364 911.739 90840.93 0.247 0.206 -4.369 237.349 107.475 -1.014
29.381 909.990 90860.16 0.202 0.406 -4.024 237.561 107.127 -1.015
29.396 908.471 90876.86 0.160 0.566 -3.725 237.732 106.828 -1.015
29.409 907.103 90891.92 0.118 0.698 -3.458 237.874 106.562 -1.015
29.422 905.733 90906.99 0.056 0.814 -3.194 238.003 106.298 -1.015
29.449 902.989 90937.18 -0.006 0.995 -2.673 238.210 105.777 -1.016
29.475 900.239 90967.45 -0.084 1.100 -2.159 238.343 105.264 -1.017
29.499 897.759 90994.76 -0.160 1.126 -1.705 238.396 104.809 -1.017
29.523 895.274 91022.12 -0.230 1.089 -1.256 238.385 104.361 -1.017
29.546 892.784 91049.55 -0.297 0.992 -0.814 238.314 103.920 -1.018
29.570 890.290 91077.04 -0.359 0.843 -0.378 238.189 103.484 -1.018
29.594 887.790 91104.58 -0.413 0.653 0.052 238.021 103.057 -1.019
29.618 885.286 91132.19 -0.457 0.435 0.463 237.822 102.642 -1.019
29.641 882.777 91159.86 -0.488 0.200 0.864 237.604 102.243 -1.020
29.663 880.514 91184.81 -0.515 -0.012 1.208 237.401 101.895 -1.020
29.682 878.475 91207.30 -0.538 -0.206 1.522 237.218 101.583 -1.020
29.699 876.637 91227.58 -0.553 -0.373 1.803 237.055 101.299 -1.021
29.715 874.980 91245.86 -0.562 -0.515 2.060 236.916 101.042 -1.021
29.730 873.322 91264.17 -0.564 -0.646 2.318 236.788 100.784 -1.021
29.746 871.661 91282.50 -0.555 -0.761 2.577 236.674 100.524 -1.022
29.777 868.334 91319.24 -0.538 -0.932 3.102 236.503 99.998 -1.022
29.805 865.333 91352.39 -0.507 -1.007 3.580 236.426 99.520 -1.023
29.831 862.626 91382.29 -0.473 -1.004 4.015 236.426 99.084 -1.023
29.856 859.913 91412.27 -0.441 -0.934 4.456 236.494 98.643 -1.024
29.881 857.196 91442.30 -0.419 -0.798 4.902 236.628 98.197 -1.024
29.906 854.473 91472.41 -0.411 -0.607 5.352 236.819 97.746 -1.025
29.932 851.745 91502.58 -0.419 -0.374 5.809 237.056 97.290 -1.025
29.957 849.011 91532.83 -0.444 -0.112 6.270 237.325 96.828 -1.026
29.982 846.272 91563.13 -0.468 0.161 6.737 237.604 96.367 -1.026
29.993 845.038 91576.80 -0.490 0.277 6.942 237.727 96.162 -1.026
30.005 843.802 91590.47 -0.506 0.388 7.143 237.845 95.962 -1.026
30.016 842.566 91604.16 -0.531 0.491 7.339 237.956 95.765 -1.027
30.039 840.090 91631.58 -0.557 0.670 7.721 238.151 95.384 -1.027
30.062 837.609 91659.05 -0.592 0.805 8.088 238.304 95.018 -1.027
30.084 835.124 91686.58 -0.628 0.889 8.439 238.408 94.667 -1.028
30.107 832.634 91714.16 -0.662 0.919 8.776 238.460 94.332 -1.028
30.130 830.141 91741.80 -0.694 0.896 9.098 238.458 94.010 -1.029
30.153 827.642 91769.50 -0.721 0.822 9.407 238.406 93.703 -1.029
30.175 825.140 91797.25 -0.745 0.705 9.701 238.309 93.409 -1.029
30.198 822.633 91825.05 -0.762 0.553 9.983 238.175 93.129 -1.030
30.221 820.122 91852.91 -0.771 0.376 10.251 238.014 92.862 -1.030
30.244 817.606 91880.83 -0.772 0.185 10.507 237.837 92.608 -1.030
30.266 815.086 91908.80 -0.784 -0.010 10.751 237.653 92.364 -1.031
30.289 812.562 91936.83 -0.798 -0.208 10.998 237.467 92.123 -1.031
30.299 811.424 91949.46 -0.800 -0.293 11.107 237.384 92.013 -1.031
30.309 810.286 91962.10 -0.802 -0.376 11.218 237.304 91.903 -1.031
30.320 809.147 91974.75 -0.800 -0.455 11.328 237.227 91.794 -1.032
30.330 808.007 91987.41 -0.795 -0.529 11.439 237.155 91.684 -1.032
30.340 806.866 92000.08 -0.785 -0.596 11.549 237.088 91.575 -1.032
30.361 804.582 92025.46 -0.769 -0.711 11.770 236.975 91.355 -1.032
30.381 802.294 92050.89 -0.741 -0.793 11.991 236.893 91.136 -1.033
30.402 800.003 92076.36 -0.708 -0.836 12.212 236.848 90.917 -1.033
30.422 797.708 92101.87 -0.673 -0.840 12.434 236.844 90.697 -1.033
30.442 795.410 92127.43 -0.637 -0.802 12.656 236.880 90.477 -1.034
30.463 793.108 92153.03 -0.606 -0.724 12.877 236.957 90.258 -1.034
30.483 790.803 92178.68 -0.580 -0.611 13.099 237.071 90.038 -1.034
30.504 788.495 92204.37 -0.562 -0.467 13.321 237.216 89.818 -1.035
30.524 786.183 92230.10 -0.553 -0.299 13.543 237.387 89.598 -1.035
30.545 783.867 92255.88 -0.554 -0.115 13.765 237.576 89.378 -1.035
30.565 781.548 92281.71 -0.552 0.076 13.988 237.774 89.160 -1.035
30.586 779.226 92307.57 -0.547 0.253 14.196 237.964 88.950 -1.036
30.595 778.180 92319.23 -0.551 0.328 14.288 238.044 88.860 -1.036
30.604 777.133 92330.89 -0.553 0.399 14.377 238.120 88.771 -1.036
30.613 776.085 92342.57 -0.556 0.464 14.465 238.191 88.685 -1.036
30.622 775.037 92354.25 -0.561 0.523 14.550 238.256 88.601 -1.036
30.641 772.938 92377.64 -0.568 0.623 14.716 238.369 88.438 -1.037
30.659 770.836 92401.07 -0.583 0.694 14.873 238.455 88.282 -1.037
30.696 766.625 92448.04 -0.597 0.746 15.167 238.537 87.993 -1.037
30.733 762.401 92495.15 -0.612 0.678 15.432 238.501 87.733 -1.038
30.770 758.167 92542.41 -0.619 0.509 15.669 238.361 87.501 -1.038
30.807 753.921 92589.81 -0.611 0.271 15.880 238.150 87.294 -1.039
30.843 749.664 92637.36 -0.584 0.006 16.066 237.905 87.114 -1.039
30.880 745.396 92685.06 -0.557 -0.243 16.228 237.668 86.955 -1.040
30.917 741.117 92732.90 -0.534 -0.462 16.383 237.465 86.809 -1.040
30.934 739.187 92754.47 -0.492 -0.536 16.448 237.392 86.746 -1.041
30.950 737.256 92776.08 -0.463 -0.593 16.511 237.335 86.685 -1.041
30.967 735.322 92797.71 -0.428 -0.631 16.572 237.298 86.627 -1.041
30.983 733.386 92819.37 -0.391 -0.647 16.631 237.282 86.571 -1.041
31.000 731.447 92841.06 -0.354 -0.641 16.687 237.287 86.517 -1.041
31.016 729.507 92862.79 -0.298 -0.613 16.741 237.315 86.466 -1.042
31.050 725.619 92906.31 -0.247 -0.495 16.840 237.433 86.371 -1.042
31.083 721.722 92949.96 -0.192 -0.307 16.930 237.624 86.287 -1.043
31.116 717.816 92993.72 -0.154 -0.074 17.008 237.863 86.214 -1.043
31.149 713.901 93037.61 -0.139 0.174 17.075 238.118 86.153 -1.043
31.166 711.941 93059.59 -0.134 0.285 17.103 238.238 86.127 -1.044
31.182 709.978 93081.60 -0.136 0.384 17.127 238.346 86.106 -1.044
31.199 708.012 93103.65 -0.141 0.466 17.147 238.439 86.089 -1.044
31.215 706.045 93125.72 -0.147 0.528 17.163 238.513 86.076 -1.044
31.232 704.075 93147.83 -0.159 0.570 17.175 238.567 86.066 -1.044
31.265 700.128 93192.12 -0.171 0.590 17.188 238.611 86.058 -1.045
31.298 696.173 93236.53 -0.184 0.527 17.187 238.574 86.064 -1.045
31.331 692.208 93281.07 -0.191 0.395 17.172 238.466 86.085 -1.046
31.364 688.235 93325.72 -0.188 0.217 17.144 238.308 86.118 -1.046
31.398 684.253 93370.48 -0.171 0.019 17.103 238.128 86.164 -1.046
31.431 680.261 93415.37 -0.137 -0.169 17.049 237.950 86.223 -1.047
31.464 676.261 93460.37 -0.102 -0.339 16.977 237.793 86.299 -1.047
31.479 674.458 93480.66 -0.056 -0.400 16.939 237.733 86.340 -1.047
31.494 672.653 93500.98 -0.023 -0.450 16.898 237.684 86.384 -1.048
31.509 670.846 93521.32 0.013 -0.486 16.852 237.648 86.431 -1.048
31.524 669.038 93541.68 0.052 -0.509 16.803 237.626 86.483 -1.048
31.538 667.228 93562.06 0.112 -0.516 16.749 237.619 86.539 -1.048
31.568 663.602 93602.90 0.171 -0.484 16.630 237.651 86.662 -1.048
31.598 659.969 93643.84 0.247 -0.393 16.495 237.742 86.802 -1.049
31.628 656.329 93684.87 0.339 -0.254 16.342 237.884 86.960 -1.049
31.688 649.027 93767.22 0.367 0.102 15.980 238.235 87.321 -1.050
31.711 646.139 93799.82 0.365 0.229 15.829 238.374 87.476 -1.050
31.735 643.246 93832.47 0.349 0.334 15.675 238.491 87.634 -1.050
31.758 640.348 93865.18 0.326 0.409 15.517 238.580 87.794 -1.050
31.782 637.447 93897.95 0.302 0.449 15.358 238.635 87.957 -1.051
31.805 634.540 93930.79 0.277 0.453 15.195 238.654 88.123 -1.051
31.829 631.629 93963.68 0.244 0.422 15.030 238.639 88.291 -1.051
31.876 625.794 94029.64 0.219 0.274 14.693 238.523 88.634 -1.052
31.923 619.941 94095.84 0.206 0.059 14.345 238.335 88.987 -1.052
31.965 614.659 94155.63 0.217 -0.135 14.025 238.154 89.319 -1.053
31.984 612.277 94182.60 0.259 -0.213 13.868 238.080 89.477 -1.053
32.003 609.892 94209.60 0.293 -0.281 13.703 238.015 89.645 -1.053
32.023 607.504 94236.65 0.333 -0.334 13.528 237.964 89.821 -1.053
32.042 605.113 94263.73 0.376 -0.370 13.343 237.930 90.008 -1.053
32.061 602.720 94290.86 0.421 -0.387 13.149 237.914 90.204 -1.054
32.080 600.323 94318.02 0.490 -0.383 12.944 237.919 90.410 -1.054
32.118 595.522 94372.46 0.552 -0.315 12.504 237.989 90.854 -1.054
32.156 590.709 94427.06 0.623 -0.178 12.020 238.128 91.341 -1.054
32.194 585.884 94481.82 0.672 -0.001 11.490 238.312 91.874 -1.055
32.232 581.048 94536.73 0.676 0.180 10.912 238.502 92.445 -1.055
32.249 578.868 94561.49 0.632 0.247 10.653 238.577 92.706 -1.055
32.267 576.685 94586.29 0.599 0.301 10.394 238.640 92.966 -1.055
32.284 574.500 94611.11 0.561 0.340 10.137 238.688 93.224 -1.056
32.301 572.313 94635.97 0.524 0.362 9.881 238.720 93.480 -1.056
32.318 570.124 94660.86 0.487 0.368 9.627 238.735 93.735 -1.056
32.335 567.932 94685.78 0.434 0.357 9.375 238.734 93.988 -1.056
32.369 563.541 94735.72 0.386 0.290 8.875 238.687 94.489 -1.056
32.404 559.141 94785.79 0.329 0.178 8.381 238.593 94.985 -1.057
32.438 554.732 94835.98 0.286 0.043 7.892 238.473 95.474 -1.057
32.472 550.314 94886.30 0.271 -0.090 7.409 238.350 95.966 -1.057
32.488 548.322 94908.99 0.281 -0.146 7.180 238.298 96.194 -1.057
32.503 546.329 94931.70 0.292 -0.197 6.944 238.250 96.431 -1.058
32.519 544.334 94954.44 0.306 -0.241 6.699 238.209 96.675 -1.058
32.534 542.337 94977.20 0.320 -0.276 6.446 238.175 96.929 -1.058
32.550 540.338 94999.99 0.335 -0.300 6.183 238.152 97.191 -1.058
32.565 538.337 95022.81 0.358 -0.314 5.912 238.139 97.462 -1.058
32.596 534.330 95068.51 0.376 -0.307 5.341 238.149 98.033 -1.058
32.627 530.316 95114.32 0.392 -0.253 4.732 238.205 98.641 -1.059
32.658 526.294 95160.23 0.393 -0.160 4.083 238.301 99.290 -1.059
32.689 522.265 95206.25 0.373 -0.042 3.391 238.425 99.980 -1.059
32.719 518.228 95252.37 0.338 0.085 2.656 238.558 100.703 -1.059
32.733 516.451 95272.67 0.274 0.136 2.336 238.614 101.024 -1.060
32.747 514.673 95293.00 0.232 0.181 2.017 238.664 101.341 -1.060
32.760 512.893 95313.34 0.188 0.219 1.703 238.708 101.654 -1.060
32.774 511.112 95333.71 0.123 0.250 1.391 238.745 101.965 -1.060
32.801 507.546 95374.50 0.058 0.286 0.776 238.794 102.577 -1.060
32.828 503.973 95415.36 -0.024 0.286 0.174 238.808 103.178 -1.060
32.855 500.395 95456.31 -0.083 0.254 -0.416 238.788 103.762 -1.061
32.867 498.783 95474.77 -0.139 0.229 -0.670 238.770 104.017 -1.061
32.880 497.170 95493.24 -0.170 0.200 -0.917 238.746 104.264 -1.061
32.892 495.556 95511.72 -0.211 0.167 -1.158 238.718 104.505 -1.061
32.916 492.324 95548.74 -0.244 0.091 -1.619 238.652 104.967 -1.061
32.941 489.087 95585.83 -0.280 0.011 -2.055 238.580 105.403 -1.061
32.965 485.845 95622.98 -0.301 -0.066 -2.465 238.509 105.819 -1.061
32.976 484.406 95639.48 -0.320 -0.099 -2.648 238.479 106.001 -1.062
32.987 482.966 95655.99 -0.330 -0.130 -2.830 238.450 106.184 -1.062
32.998 481.525 95672.51 -0.339 -0.158 -3.013 238.424 106.367 -1.062
33.009 480.083 95689.05 -0.351 -0.184 -3.197 238.400 106.551 -1.062
33.030 477.196 95722.16 -0.360 -0.224 -3.567 238.363 106.920 -1.062
33.052 474.306 95755.32 -0.372 -0.247 -3.939 238.343 107.293 -1.062
33.074 471.412 95788.54 -0.382 -0.250 -4.315 238.341 107.668 -1.062
33.095 468.515 95821.80 -0.401 -0.234 -4.694 238.359 108.047 -1.062
33.139 462.709 95888.48 -0.427 -0.149 -5.461 238.449 108.812 -1.063
33.182 456.889 95955.37 -0.461 -0.014 -6.241 238.590 109.590 -1.063
33.204 453.973 95988.88 -0.496 0.059 -6.636 238.669 109.979 -1.063
33.214 452.514 96005.66 -0.511 0.093 -6.826 238.706 110.170 -1.063
33.225 451.054 96022.45 -0.520 0.125 -7.012 238.742 110.355 -1.063
33.236 449.593 96039.26 -0.529 0.153 -7.193 238.774 110.535 -1.063
33.247 448.132 96056.07 -0.543 0.177 -7.369 238.802 110.710 -1.064
33.269 445.205 96089.75 -0.556 0.213 -7.707 238.847 111.047 -1.064
33.290 442.275 96123.47 -0.572 0.230 -8.026 238.873 111.364 -1.064
33.312 439.342 96157.24 -0.585 0.228 -8.327 238.880 111.664 -1.064
33.334 436.404 96191.07 -0.597 0.208 -8.611 238.869 111.946 -1.064
33.377 430.519 96258.87 -0.597 0.123 -9.127 238.805 112.459 -1.064
33.420 424.620 96326.88 -0.583 0.009 -9.580 238.707 112.908 -1.065
33.459 419.298 96388.26 -0.569 -0.089 -9.936 238.619 113.266 -1.065
33.479 416.632 96419.02 -0.563 -0.131 -10.109 238.581 113.436 -1.065
33.498 413.964 96449.81 -0.556 -0.164 -10.279 238.551 113.604 -1.065
33.518 411.293 96480.65 -0.547 -0.186 -10.447 238.532 113.770 -1.065
33.537 408.619 96511.53 -0.536 -0.196 -10.612 238.524 113.933 -1.066
33.557 405.942 96542.45 -0.523 -0.193 -10.775 238.530 114.094 -1.066
33.576 403.263 96573.41 -0.506 -0.176 -10.936 238.549 114.252 -1.066
33.616 397.894 96635.45 -0.492 -0.108 -11.249 238.622 114.560 -1.066
33.655 392.515 96697.66 -0.482 -0.009 -11.552 238.727 114.858 -1.066
33.694 387.124 96760.04 -0.474 0.095 -11.843 238.839 115.138 -1.067
33.713 384.424 96791.29 -0.461 0.136 -11.973 238.887 115.266 -1.067
33.733 381.721 96822.58 -0.454 0.166 -12.094 238.924 115.384 -1.067
33.752 379.015 96853.91 -0.447 0.184 -12.204 238.949 115.492 -1.067
33.772 376.306 96885.29 -0.440 0.188 -12.304 238.961 115.589 -1.067
33.791 373.595 96916.70 -0.433 0.179 -12.395 238.960 115.677 -1.067
33.811 370.881 96948.16 -0.419 0.158 -12.476 238.947 115.755 -1.067
33.850 365.443 97011.20 -0.400 0.088 -12.611 238.893 115.884 -1.068
33.889 359.995 97074.41 -0.366 0.001 -12.711 238.819 115.979 -1.068
33.928 354.534 97137.79 -0.328 -0.079 -12.778 238.748 116.041 -1.068
33.967 349.063 97201.33 -0.286 -0.141 -12.820 238.697 116.076 -1.068
34.001 344.287 97256.81 -0.236 -0.161 -12.833 238.681 116.084 -1.068
34.031 339.982 97306.85 -0.191 -0.150 -12.827 238.695 116.074 -1.069
34.059 336.101 97351.97 -0.148 -0.117 -12.806 238.732 116.048 -1.069
34.086 332.215 97397.18 -0.111 -0.067 -12.769 238.786 116.007 -1.069
34.114 328.323 97442.47 -0.077 -0.006 -12.715 238.852 115.949 -1.069
34.141 324.426 97487.84 -0.056 0.056 -12.645 238.921 115.876 -1.069
34.169 320.522 97533.30 -0.050 0.105 -12.565 238.980 115.790 -1.069
34.183 318.569 97556.06 -0.046 0.124 -12.520 239.003 115.744 -1.069
34.196 316.613 97578.84 -0.046 0.137 -12.473 239.021 115.695 -1.070
34.210 314.657 97601.64 -0.046 0.145 -12.423 239.033 115.643 -1.070
34.224 312.699 97624.46 -0.046 0.147 -12.371 239.040 115.589 -1.070
34.238 310.739 97647.31 -0.047 0.143 -12.316 239.042 115.532 -1.070
34.265 306.816 97693.05 -0.047 0.121 -12.199 239.030 115.412 -1.070
34.293 302.887 97738.89 -0.045 0.083 -12.073 239.001 115.282 -1.070
34.320 298.953 97784.80 -0.039 0.035 -11.939 238.962 115.144 -1.070
34.348 295.013 97830.80 -0.028 -0.015 -11.795 238.919 114.994 -1.070
34.362 293.040 97853.83 -0.007 -0.039 -11.716 238.898 114.914 -1.070
34.375 291.067 97876.88 0.010 -0.062 -11.632 238.877 114.827 -1.070
34.389 289.092 97899.95 0.028 -0.083 -11.542 238.859 114.736 -1.071
34.403 287.116 97923.05 0.047 -0.101 -11.446 238.843 114.639 -1.071
34.417 285.138 97946.16 0.078 -0.115 -11.345 238.831 114.536 -1.071
34.444 281.178 97992.45 0.110 -0.130 -11.124 238.820 114.312 -1.071
34.472 277.213 98038.82 0.152 -0.126 -10.880 238.829 114.064 -1.071
34.499 273.242 98085.28 0.191 -0.102 -10.609 238.856 113.790 -1.071
34.527 269.265 98131.82 0.225 -0.062 -10.311 238.900 113.489 -1.071
34.554 265.283 98178.44 0.252 -0.012 -9.986 238.955 113.161 -1.071
34.582 261.295 98225.15 0.257 0.041 -9.631 239.014 112.809 -1.071
34.594 259.499 98246.19 0.241 0.062 -9.471 239.038 112.647 -1.072
34.607 257.701 98267.25 0.227 0.081 -9.310 239.060 112.485 -1.072
34.619 255.903 98288.33 0.212 0.097 -9.149 239.080 112.323 -1.072
34.631 254.103 98309.43 0.189 0.108 -8.989 239.095 112.162 -1.072
34.656 250.500 98351.67 0.165 0.121 -8.668 239.116 111.839 -1.072
34.681 246.893 98393.98 0.134 0.117 -8.348 239.121 111.517 -1.072
34.706 243.281 98436.35 0.104 0.100 -8.028 239.111 111.196 -1.072
34.730 239.665 98478.80 0.077 0.071 -7.709 239.090 110.875 -1.072
34.755 236.044 98521.31 0.053 0.035 -7.390 239.061 110.555 -1.072
34.780 232.419 98563.89 0.043 -0.004 -7.072 239.029 110.231 -1.072
34.792 230.605 98585.21 0.043 -0.023 -6.904 239.012 110.064 -1.072
34.805 228.789 98606.54 0.045 -0.041 -6.731 238.996 109.890 -1.072
34.817 226.973 98627.89 0.047 -0.059 -6.551 238.981 109.709 -1.072
34.830 225.155 98649.25 0.049 -0.074 -6.365 238.968 109.523 -1.073
34.842 223.336 98670.64 0.051 -0.087 -6.172 238.957 109.329 -1.073
34.867 219.695 98713.45 0.051 -0.105 -5.765 238.943 108.921 -1.073
34.892 216.050 98756.34 0.047 -0.109 -5.329 238.942 108.485 -1.073
34.916 212.400 98799.29 0.037 -0.099 -4.864 238.955 108.019 -1.073
34.941 208.746 98842.31 0.002 -0.077 -4.368 238.981 107.523 -1.073
34.991 201.424 98928.55 -0.035 -0.004 -3.278 239.060 106.433 -1.073
35.015 197.756 98971.77 -0.099 0.037 -2.682 239.106 105.846 -1.073
35.028 195.921 98993.40 -0.153 0.055 -2.387 239.127 105.551 -1.073
35.040 194.084 99015.06 -0.190 0.071 -2.094 239.146 105.258 -1.073
35.053 192.247 99036.73 -0.226 0.084 -1.804 239.162 104.969 -1.073
35.065 190.408 99058.41 -0.262 0.093 -1.516 239.176 104.682 -1.073
35.077 188.568 99080.12 -0.315 0.099 -1.232 239.185 104.397 -1.074
35.102 184.885 99123.58 -0.366 0.101 -0.670 239.195 103.837 -1.074
35.127 181.197 99167.10 -0.430 0.090 -0.118 239.191 103.287 -1.074
35.152 177.505 99210.70 -0.472 0.068 0.423 239.176 102.752 -1.074
35.163 175.853 99230.20 -0.505 0.055 0.652 239.166 102.520 -1.074
35.174 174.201 99249.73 -0.521 0.041 0.876 239.156 102.296 -1.074
35.185 172.547 99269.26 -0.535 0.027 1.092 239.144 102.079 -1.074
35.196 170.893 99288.81 -0.546 0.012 1.302 239.131 101.868 -1.074
35.207 169.238 99308.37 -0.562 -0.003 1.505 239.119 101.663 -1.074
35.218 167.582 99327.94 -0.579 -0.018 1.710 239.107 101.459 -1.074
35.228 166.171 99344.63 -0.595 -0.030 1.884 239.096 101.283 -1.074
35.236 164.900 99359.65 -0.609 -0.040 2.042 239.087 101.125 -1.074
35.245 163.628 99374.69 -0.630 -0.050 2.200 239.079 100.967 -1.074
35.262 161.084 99404.78 -0.662 -0.068 2.517 239.064 100.649 -1.074
35.295 155.990 99465.05 -0.700 -0.090 3.158 239.048 100.006 -1.074
35.329 150.887 99525.45 -0.752 -0.089 3.807 239.053 99.356 -1.074
35.363 145.776 99585.98 -0.804 -0.065 4.465 239.081 98.697 -1.075
35.394 141.170 99640.56 -0.848 -0.030 5.065 239.121 98.097 -1.075
35.409 138.864 99667.89 -0.893 -0.009 5.368 239.145 97.794 -1.075
35.425 136.556 99695.25 -0.909 0.013 5.673 239.170 97.492 -1.075
35.431 135.517 99707.57 -0.912 0.023 5.806 239.181 97.358 -1.075
35.438 134.478 99719.89 -0.912 0.032 5.937 239.191 97.228 -1.075
35.445 133.438 99732.22 -0.911 0.040 6.065 239.201 97.099 -1.075
35.459 131.358 99756.90 -0.910 0.055 6.314 239.220 96.851 -1.075
35.473 129.276 99781.59 -0.904 0.067 6.553 239.235 96.612 -1.075
35.500 125.109 99831.04 -0.896 0.081 7.001 239.257 96.164 -1.075
35.528 120.937 99880.58 -0.880 0.081 7.412 239.264 95.754 -1.075
35.555 116.759 99930.20 -0.859 0.067 7.788 239.258 95.379 -1.075
35.583 112.575 99979.90 -0.831 0.043 8.128 239.241 95.040 -1.075
35.610 108.387 100029.69 -0.797 0.013 8.437 239.218 94.733 -1.075
35.638 104.193 100079.56 -0.777 -0.017 8.713 239.193 94.453 -1.075
35.651 102.094 100104.53 -0.775 -0.031 8.849 239.182 94.320 -1.075
35.665 99.993 100129.52 -0.773 -0.044 8.981 239.171 94.187 -1.075
35.679 97.892 100154.53 -0.771 -0.055 9.113 239.163 94.057 -1.075
35.693 95.789 100179.56 -0.766 -0.064 9.243 239.156 93.927 -1.076
35.720 91.579 100229.68 -0.759 -0.073 9.499 239.151 93.674 -1.076
35.748 87.363 100279.88 -0.748 -0.069 9.747 239.159 93.427 -1.076
35.775 83.143 100330.17 -0.737 -0.053 9.989 239.179 93.188 -1.076
35.803 78.917 100380.55 -0.722 -0.027 10.223 239.209 92.956 -1.076
35.858 70.449 100481.54 -0.703 0.035 10.669 239.277 92.527 -1.076
35.878 67.266 100519.52 -0.652 0.052 10.811 239.300 92.385 -1.076
35.899 64.081 100557.55 -0.622 0.064 10.941 239.316 92.258 -1.076
35.920 60.892 100595.63 -0.590 0.069 11.055 239.326 92.146 -1.076
35.940 57.701 100633.75 -0.560 0.066 11.156 239.329 92.047 -1.076
35.961 54.507 100671.92 -0.529 0.057 11.243 239.326 91.962 -1.076
35.982 51.309 100710.13 -0.481 0.043 11.317 239.317 91.890 -1.076
36.023 44.905 100786.71 -0.430 0.006 11.428 239.290 91.784 -1.076
36.064 38.490 100863.47 -0.366 -0.030 11.492 239.262 91.723 -1.077
36.105 32.062 100940.42 -0.320 -0.056 11.519 239.245 91.703 -1.077
36.124 29.166 100975.11 -0.267 -0.060 11.517 239.243 91.706 -1.077
36.143 26.267 101009.84 -0.233 -0.060 11.507 239.246 91.719 -1.077
36.161 23.366 101044.61 -0.197 -0.054 11.488 239.254 91.740 -1.077
